 VD, forward,V_G = -2.0,V_G = -1.5,V_G = -1.0,V_G = -0.5,V_G = 0.0,V_G = 0.5,V_G = 1.0
0.885,False,9.14e-06,4.2909999999999994e-05,0.0007325799999999999,0.015470599999999998,0.17459999999999998,0.51122,0.70894
0.9,False,9.15e-06,4.322e-05,0.00073207,0.015535999999999998,0.17424,0.5139199999999999,0.71296
0.915,False,9.92e-06,4.302e-05,0.00074053,0.0155052,0.17429999999999998,0.5169600000000001,0.71638
0.93,False,8.500000000000002e-06,4.406e-05,0.000736,0.015451399999999999,0.175,0.5153800000000001,0.7197
0.945,False,8.470000000000002e-06,4.422e-05,0.0007338799999999999,0.015462399999999998,0.17515999999999998,0.5165000000000001,0.7230599999999999
0.96,False,8.84e-06,4.4510000000000006e-05,0.00073477,0.0153816,0.17494,0.5183,0.7267
0.975,False,8.290000000000002e-06,4.457e-05,0.00073402,0.015569399999999997,0.17601999999999998,0.51898,0.73052
0.99,False,9.000000000000002e-06,4.512e-05,0.0007397300000000001,0.015526399999999997,0.17528,0.52088,0.73314
1.005,False,9.810000000000001e-06,4.664000000000001e-05,0.0007372500000000001,0.0155394,0.17542,0.5199400000000001,0.73842
1.02,False,9.970000000000001e-06,4.669e-05,0.00073986,0.015556799999999997,0.17584,0.5210600000000001,0.7361000000000001
1.035,False,1.0440000000000002e-05,4.6970000000000006e-05,0.0007433600000000001,0.015666999999999997,0.17568,0.5233800000000001,0.73802
1.05,False,1.102e-05,4.7140000000000006e-05,0.00074464,0.015649399999999997,0.1761,0.52456,0.74102
1.065,False,1.0019999999999999e-05,4.6620000000000004e-05,0.00074265,0.0156764,0.1759,0.52382,0.74328
1.08,False,1.0399999999999999e-05,4.5980000000000004e-05,0.00074549,0.0156718,0.1765,0.5267799999999999,0.7450600000000001
1.095,False,1.116e-05,4.57e-05,0.0007564,0.015698999999999998,0.17584,0.52646,0.74724
1.11,False,1.185e-05,4.615e-05,0.00075473,0.0156374,0.1761,0.5262199999999999,0.7511599999999999
1.125,False,1.114e-05,4.61e-05,0.0007614200000000001,0.015611,0.17638,0.5275000000000001,0.7522599999999999
1.14,False,1.18e-05,4.727e-05,0.0007514700000000001,0.015788,0.1762,0.52654,0.75468
1.155,False,1.1609999999999999e-05,4.743e-05,0.00075468,0.015782599999999997,0.17664,0.52784,0.75586
1.1700000000000002,False,1.223e-05,4.702e-05,0.00075367,0.0159258,0.17632,0.52838,0.75842
1.185,False,1.347e-05,4.555e-05,0.0007578600000000001,0.015745199999999997,0.17662,0.5307,0.75598
1.2,False,1.438e-05,4.665e-05,0.00077035,0.015802999999999998,0.1762,0.53278,0.76152
1.215,False,1.363e-05,4.678e-05,0.0007670800000000001,0.0157926,0.17706,0.5310400000000001,0.7626000000000001
1.23,False,1.415e-05,4.6070000000000004e-05,0.00076944,0.015817599999999998,0.17678,0.52904,0.76418
1.245,False,1.4570000000000001e-05,4.6989999999999996e-05,0.00077671,0.0158578,0.17679999999999998,0.53176,0.76308
1.26,False,1.3900000000000002e-05,4.77e-05,0.00077903,0.0159206,0.17706,0.53214,0.76508
1.275,False,1.344e-05,4.6630000000000006e-05,0.00077584,0.015893599999999997,0.17722,0.53206,0.7683
1.29,False,1.3780000000000002e-05,4.809e-05,0.0007827,0.0158132,0.17846,0.53294,0.7671399999999999
1.3050000000000002,False,1.3090000000000002e-05,4.848e-05,0.00078543,0.0159868,0.17784,0.53316,0.769
1.32,False,1.347e-05,4.818e-05,0.0007780199999999999,0.015849,0.17822,0.53474,0.7688999999999999
1.335,False,1.4810000000000002e-05,4.9220000000000006e-05,0.0007863,0.015971199999999998,0.17838,0.5351600000000001,0.77116
1.35,False,1.5210000000000002e-05,4.919000000000001e-05,0.00079051,0.0160146,0.17874,0.53432,0.77096
1.365,False,1.444e-05,4.9260000000000006e-05,0.0007869499999999999,0.016051999999999997,0.17892,0.53652,0.77446
1.38,False,1.436e-05,4.974e-05,0.00078915,0.015940799999999998,0.17862,0.53662,0.77298
1.395,False,1.4230000000000001e-05,4.956e-05,0.0007933800000000001,0.0161246,0.17950000000000002,0.537,0.77666
1.41,False,1.388e-05,4.8960000000000006e-05,0.0007864,0.0162388,0.17912,0.53658,0.7742
1.425,False,1.3070000000000002e-05,5.0570000000000005e-05,0.00079086,0.016132599999999997,0.17944,0.53386,0.77652
1.4400000000000002,False,1.322e-05,5.1510000000000007e-05,0.00077894,0.0162548,0.1791,0.5379999999999999,0.78028
1.455,False,1.5070000000000003e-05,5.269e-05,0.00079084,0.0161166,0.17915999999999999,0.5372,0.77866
1.47,False,1.5250000000000003e-05,5.289e-05,0.0007948699999999999,0.016163999999999998,0.17984,0.5351600000000001,0.7794599999999999
1.485,False,1.5140000000000002e-05,5.348e-05,0.00078723,0.016284399999999997,0.17918,0.5362199999999999,0.78202
1.5,False,1.628e-05,5.3139999999999996e-05,0.00078925,0.016303799999999997,0.18014,0.53608,0.77972
1.5,True,1.664e-05,5.102e-05,0.00078723,0.0161136,0.17856,0.53666,0.78022
1.485,True,1.795e-05,5.182e-05,0.0007975000000000001,0.0162638,0.17912,0.5372,0.77676
1.47,True,1.6590000000000002e-05,5.1620000000000004e-05,0.00079465,0.0163108,0.17880000000000001,0.53864,0.7765
1.455,True,1.6100000000000002e-05,5.27e-05,0.00079918,0.016280199999999998,0.18001999999999999,0.53618,0.77644
1.4400000000000002,True,1.502e-05,5.274e-05,0.0008048899999999999,0.016378,0.1792,0.53596,0.77734
1.425,True,1.4720000000000001e-05,5.1510000000000007e-05,0.0008091,0.016300199999999997,0.17886,0.5347000000000001,0.7756000000000001
1.41,True,1.48e-05,5.2100000000000006e-05,0.00079894,0.0163658,0.17972,0.5320199999999999,0.77558
1.395,True,1.386e-05,5.204e-05,0.0008072999999999999,0.016293999999999996,0.17978000000000002,0.53402,0.77484
1.38,True,1.365e-05,5.223e-05,0.000816,0.016318799999999998,0.17948,0.53408,0.7724799999999999
1.365,True,1.3840000000000001e-05,5.3060000000000004e-05,0.0008164500000000001,0.016302,0.17945999999999998,0.53082,0.7699
1.35,True,1.4400000000000001e-05,5.304000000000001e-05,0.0008247599999999999,0.0162752,0.17966000000000001,0.5303399999999999,0.76774
1.335,True,1.586e-05,5.284e-05,0.0008271099999999999,0.016277599999999996,0.17976,0.5311600000000001,0.7635
1.32,True,1.405e-05,5.3530000000000004e-05,0.00081685,0.01636,0.18,0.5307999999999999,0.76788
1.3050000000000002,True,1.4249999999999999e-05,5.250000000000001e-05,0.0008197400000000001,0.016420399999999998,0.18,0.53144,0.76556
1.29,True,1.4650000000000002e-05,5.34e-05,0.00082221,0.016374,0.18001999999999999,0.53094,0.76146
1.275,True,1.388e-05,5.2570000000000007e-05,0.0008225000000000001,0.016412,0.18066000000000002,0.53068,0.76018
